Age,Revenu,Montant_Credit,Duree_Mois,Score_Credit,Nb_Credits_Prec,Ratio_Dette_Revenu,Statut_Emploi,Niveau_Education,Type_Propriete,Historique_Credit,Objet_Credit,Defaut_Paiement
31,86.91,28.41,20,795,7,90.58,CDD,Bac,Locataire,Bon,Automobile,0
56,100.74,30.46,55,725,10,5.35,CDD,Licence,Locataire,Bon,Consommation,1
44,75.73,5.69,76,774,1,30.84,CDI,Licence,Locataire,Mauvais,Consommation,0
26,44.49,40.13,80,544,10,28.81,CDD,Master,Propriétaire,Bon,Consommation,0
32,31.23,21.27,43,749,8,62.64,CDI,Bac,Propriétaire,Bon,Consommation,0
32,24.23,23.29,45,650,2,13.12,Indépendant,Licence,Propriétaire,Bon,Automobile,0
43,50.55,41.42,71,460,3,88.23,Indépendant,Licence,Propriétaire,Acceptable,Automobile,0
59,21.23,22.07,44,439,9,82.86,CDD,Licence,Autre,Bon,Immobilier,1
77,91.57,7.13,79,792,9,65.21,CDI,Bac,Propriétaire,Excellent,Professionnel,0
30,53.32,12.94,22,830,2,45.84,CDD,Bac,Propriétaire,Acceptable,Professionnel,1
68,126.31,48.02,12,692,2,93.3,Indépendant,Master,Propriétaire,Bon,Automobile,0
80,25.02,8.17,44,700,7,83.07,CDI,Licence,Locataire,Mauvais,Immobilier,1
49,45.56,20.97,73,349,7,49.93,CDD,Licence,Locataire,Bon,Immobilier,1
56,113.58,27.64,40,594,5,70.19,Retraité,Master,Propriétaire,Bon,Consommation,0
66,95.84,27.2,56,724,3,56.69,CDI,Licence,Locataire,Excellent,Immobilier,0
69,23.71,5.18,52,311,0,58.79,CDI,Licence,Locataire,Acceptable,Consommation,1
78,133.43,27.55,41,634,3,33.1,CDI,Bac,Propriétaire,Acceptable,Professionnel,0
49,133.43,22.27,69,314,7,46.21,CDD,Master,Propriétaire,Bon,Professionnel,1
21,59.61,48.74,18,327,5,7.81,Chômeur,Licence,Propriétaire,Bon,Immobilier,0
47,60.95,12.16,23,687,1,35.73,CDD,Licence,Propriétaire,Mauvais,Professionnel,1
54,148.52,20.94,26,591,2,69.58,CDI,Licence,Locataire,Bon,Consommation,1
40,99.53,23.88,70,549,6,95.32,CDD,Master,Propriétaire,Excellent,Immobilier,1
56,86.73,22.58,13,804,10,96.31,CDD,Master,Propriétaire,Mauvais,Automobile,0
62,128.15,34.96,53,397,10,55.57,CDD,Bac,Propriétaire,Acceptable,Consommation,1
32,53.51,14.7,48,636,3,60.66,CDI,Licence,Propriétaire,Bon,Professionnel,1
60,72.94,14.95,58,338,3,18.57,CDD,Licence,Locataire,Mauvais,Immobilier,1
46,51.15,37.81,32,337,4,69.53,CDI,Bac,Propriétaire,Excellent,Immobilier,0
53,121.54,27.51,24,599,7,7.07,CDI,Master,Propriétaire,Excellent,Automobile,0
30,92.4,23.68,28,478,6,28.47,CDD,Bac,Locataire,Acceptable,Professionnel,1
49,103.94,12.61,55,768,8,66.84,Retraité,Licence,Propriétaire,Excellent,Professionnel,0
24,49.06,13.44,56,581,4,31.03,CDI,Licence,Propriétaire,Mauvais,Immobilier,0
76,44.73,5.47,48,463,0,4.98,Retraité,Licence,Propriétaire,Acceptable,Immobilier,1
68,80.93,9.11,56,752,3,83.19,CDI,Licence,Propriétaire,Bon,Professionnel,1
39,114.57,30.06,74,396,5,31.03,Indépendant,Doctorat,Propriétaire,Acceptable,Consommation,1
45,85.91,45.13,46,608,5,6.31,CDI,Licence,Propriétaire,Excellent,Professionnel,0
19,19.41,17.92,77,561,8,7.48,CDI,Bac,Propriétaire,Bon,Consommation,0
59,132.25,19.75,16,592,9,25.18,CDD,Licence,Locataire,Mauvais,Immobilier,1
62,23.73,10.2,57,548,4,17.8,CDD,Bac,Propriétaire,Acceptable,Consommation,0
79,144.04,22.49,28,544,4,77.43,Indépendant,Bac,Autre,Bon,Immobilier,0
74,18.39,6.67,54,550,5,32.17,CDD,Bac,Propriétaire,Excellent,Consommation,0
70,108.75,46.29,43,422,10,80.47,CDD,Bac,Locataire,Excellent,Automobile,0
23,26.1,35.29,52,624,5,17.38,Chômeur,Licence,Locataire,Bon,Professionnel,1
45,137.94,49.58,77,800,2,49.29,CDD,Licence,Propriétaire,Bon,Professionnel,0
45,77.7,44.73,12,365,5,68.8,CDI,Bac,Locataire,Excellent,Immobilier,1
61,33.57,26.28,71,358,7,65.2,CDI,Master,Locataire,Bon,Immobilier,1
61,61.01,28.39,82,797,5,60.11,CDI,Bac,Propriétaire,Acceptable,Automobile,1
37,37.25,13.58,67,672,10,92.48,Indépendant,Master,Autre,Bon,Consommation,1
47,38.03,25.79,34,565,4,22.85,CDI,Licence,Propriétaire,Excellent,Consommation,0
79,142.99,45.64,43,535,2,49.37,CDI,Bac,Propriétaire,Mauvais,Professionnel,1
28,75.11,7.29,38,517,0,88.4,CDI,Doctorat,Locataire,Bon,Automobile,1
75,121.49,43.86,34,826,4,7.79,CDD,Licence,Propriétaire,Acceptable,Immobilier,0
72,101.35,20.34,84,740,5,5.59,CDI,Licence,Locataire,Excellent,Immobilier,0
45,106.32,45.48,28,705,5,23.33,CDI,Bac,Locataire,Bon,Immobilier,1
42,32.78,47.34,8,768,5,63.3,CDD,Master,Autre,Bon,Consommation,0
56,46.61,35.19,50,409,2,25.99,Indépendant,Licence,Propriétaire,Bon,Professionnel,0
79,121.21,34.9,13,652,3,19.02,CDI,Bac,Autre,Bon,Immobilier,0
50,146.05,25.37,34,390,2,45.88,CDD,Bac,Propriétaire,Excellent,Consommation,1
18,50.46,42.6,7,713,1,61.36,CDI,Master,Propriétaire,Bon,Automobile,0
74,51.66,48.27,55,372,7,24.86,Chômeur,Bac,Locataire,Bon,Immobilier,1
44,78.84,39.88,70,846,6,30.07,CDI,Bac,Locataire,Excellent,Automobile,0
79,147.82,32.99,25,597,10,61.36,Retraité,Licence,Propriétaire,Mauvais,Automobile,0
74,51.31,32.31,57,582,7,94.57,Retraité,Master,Locataire,Acceptable,Professionnel,1
69,69.94,43.23,42,804,5,67.47,Indépendant,Bac,Propriétaire,Acceptable,Automobile,0
30,135.35,29.35,77,497,10,78.29,CDI,Bac,Locataire,Acceptable,Immobilier,0
58,15.39,41.17,32,331,6,36.68,CDD,Master,Autre,Excellent,Consommation,1
20,20.37,27.9,52,640,0,27.23,CDI,Bac,Propriétaire,Bon,Professionnel,0
56,96.55,7.81,11,633,9,45.43,Chômeur,Licence,Propriétaire,Acceptable,Automobile,1
23,137.5,22.28,65,442,4,80.71,Indépendant,Doctorat,Locataire,Excellent,Immobilier,0
25,47.25,25.0,50,709,3,45.63,Retraité,Master,Propriétaire,Bon,Immobilier,0
44,78.4,11.37,49,343,9,84.67,CDD,Bac,Locataire,Bon,Immobilier,1
26,75.81,9.61,23,331,2,98.88,CDD,Licence,Propriétaire,Excellent,Immobilier,1
79,78.85,29.1,70,327,1,7.2,CDD,Bac,Propriétaire,Bon,Professionnel,1
54,99.04,8.83,30,722,8,4.54,CDI,Master,Propriétaire,Mauvais,Immobilier,0
50,78.42,18.63,32,790,7,14.96,CDD,Doctorat,Propriétaire,Acceptable,Automobile,1
68,75.41,38.51,12,459,9,38.44,CDD,Bac,Locataire,Bon,Consommation,1
59,79.03,48.4,49,506,1,13.1,Chômeur,Licence,Propriétaire,Bon,Consommation,1
61,94.77,37.3,34,317,5,87.07,CDD,Master,Locataire,Excellent,Immobilier,1
41,87.5,49.67,49,402,2,2.31,Chômeur,Bac,Locataire,Bon,Automobile,1
32,130.31,36.43,41,531,2,31.58,Chômeur,Bac,Propriétaire,Acceptable,Immobilier,1
76,21.68,18.22,24,723,4,18.47,CDD,Bac,Locataire,Bon,Immobilier,0
71,127.5,35.24,11,846,6,93.15,CDI,Licence,Locataire,Acceptable,Immobilier,0
49,128.93,36.6,30,538,6,66.95,CDD,Master,Locataire,Bon,Automobile,0
49,53.46,21.73,36,633,10,91.2,CDI,Master,Locataire,Bon,Immobilier,1
41,77.49,5.8,14,448,9,97.23,CDI,Bac,Propriétaire,Acceptable,Automobile,1
58,74.2,36.64,79,707,0,49.71,CDI,Bac,Locataire,Acceptable,Immobilier,1
69,44.5,5.98,42,316,10,23.43,Retraité,Licence,Propriétaire,Acceptable,Professionnel,1
66,68.57,33.4,32,525,6,19.37,CDI,Master,Propriétaire,Mauvais,Automobile,0
79,20.99,12.36,18,559,6,22.29,CDD,Licence,Locataire,Acceptable,Consommation,1
66,52.51,30.45,46,473,5,70.86,Indépendant,Licence,Propriétaire,Acceptable,Immobilier,1
75,125.25,27.68,71,504,5,4.04,CDD,Licence,Locataire,Acceptable,Consommation,1
69,53.42,5.61,29,714,1,5.14,CDD,Bac,Propriétaire,Bon,Automobile,0
29,125.46,21.33,49,807,2,60.81,Indépendant,Licence,Propriétaire,Bon,Immobilier,0
79,86.77,32.05,65,452,2,64.21,CDI,Doctorat,Propriétaire,Bon,Consommation,1
56,133.78,43.19,14,402,2,66.53,CDI,Bac,Locataire,Bon,Consommation,1
19,92.6,44.99,7,364,1,37.19,Retraité,Licence,Propriétaire,Acceptable,Professionnel,1
20,19.01,26.77,61,416,8,80.59,CDI,Bac,Propriétaire,Excellent,Consommation,0
66,106.18,37.78,35,455,5,53.36,CDD,Licence,Locataire,Excellent,Immobilier,1
54,21.06,19.24,27,381,1,10.55,CDD,Licence,Propriétaire,Acceptable,Immobilier,0
66,75.83,20.4,80,817,2,79.71,CDI,Licence,Propriétaire,Excellent,Automobile,1
73,140.47,13.75,18,366,9,95.31,Retraité,Master,Locataire,Excellent,Immobilier,1
34,37.3,30.29,76,537,5,6.0,Indépendant,Licence,Locataire,Bon,Consommation,0
76,67.63,19.16,21,625,3,39.14,CDI,Licence,Propriétaire,Acceptable,Automobile,0
66,113.53,8.8,50,366,6,48.75,Retraité,Bac,Locataire,Bon,Professionnel,1
19,134.1,35.83,70,475,5,14.65,Indépendant,Master,Propriétaire,Mauvais,Automobile,1
19,105.58,36.85,16,777,5,86.77,CDD,Bac,Propriétaire,Excellent,Automobile,0
45,49.85,21.2,75,554,2,28.41,CDD,Master,Locataire,Acceptable,Immobilier,1
71,106.07,8.45,25,362,10,78.3,CDI,Bac,Locataire,Bon,Immobilier,1
40,55.06,24.18,68,702,7,67.1,CDD,Bac,Propriétaire,Excellent,Consommation,1
54,111.99,24.91,17,491,8,59.8,CDI,Bac,Propriétaire,Bon,Professionnel,0
